"Pass","Point","Proposed plant","Sensor height above tabletop (in)","App reading","Units","Repeat reading","Notes"
"Common height","R1C1","D3 Ming Thing","","","","",""
"Common height","R1C2","A2 Feather Cactus","","","","",""
"Common height","R1C3","G1 Black Widow","","","","",""
"Common height","R1C4","B1 Grass-Blade","","","","",""
"Common height","R2C1","A3 Serpent","","","","",""
"Common height","R2C2","B2 Old Man of the Andes","","","","",""
"Common height","R2C3","E1 Dwarf Old Man","","","","",""
"Common height","R2C4","C2 Rainbow Hedgehog","","","","",""
"Common height","R3C1","A1 Variegated Moon","","","","",""
"Common height","R3C2","H2 Raindrops","","","","",""
"Common height","R3C3","H1 Coconut Crystal","","","","",""
"Common height","R3C4","G2 Paper Spine","","","","",""
"Common height","R4C1","D1 Dragon's Egg","","","","",""
"Common height","R4C2","G3 Royal Flush","","","","",""
"Common height","R4C3","B3 Indigo Wave","","","","",""
"Common height","R4C4","H3 Eve's Needle","","","","",""
"Common height","R5C1","E2 Peanut Hybrid","","","","",""
"Common height","R5C2","C3 Monk's Hood","","","","",""
"Common height","R5C3","E3 Woolly Nipple","","","","",""
"Common height","R5C4","F3 Yellow Tower","","","","",""
"Common height","R6C1","F2 Boobie","","","","",""
"Common height","R6C2","D2 Domino","","","","",""
"Common height","R6C3","C1 Giant Chin","","","","",""
"Common height","R6C4","F1 Hook-Spined Pincushion","","","","",""
"Common height","#1","Shared Cacti","","","","",""
"Common height","#2","Square Wooden Succulent Box","","","","",""
"Common height","#3","Money Tree","","","","",""
"Common height","#4","Kiwi upper-middle","","","","",""
"Common height","#5","Tiger Jaws","","","","",""
"Common height","#6","Tiny Mixed Planter","","","","",""
"Common height","old #4","Kiwi former upper-right","","","","",""
"Common height","Reference R2C3","Before","","","","",""
"Common height","Reference R2C3","Middle","","","","",""
"Common height","Reference R2C3","After","","","","",""
"Growing surface","R1C1","D3 Ming Thing","","","","",""
"Growing surface","R6C1","F2 Boobie","","","","",""
"Growing surface","R3C1","A1 Variegated Moon","","","","",""
"Growing surface","R2C4","C2 Rainbow Hedgehog","","","","",""
"Growing surface","R4C3","B3 Indigo Wave","","","","",""
"Growing surface","R3C3","H1 Coconut Crystal","","","","",""
"Growing surface","R3C2","H2 Raindrops","","","","",""
"Growing surface","R4C2","G3 Royal Flush","","","","",""
"Growing surface","#1 pale tip","","","","","",""
"Growing surface","#1 green tip","","","","","",""
"Growing surface","#3","","","","","",""
"Growing surface","#4 proposed","","","","","",""
"Growing surface","#4 old","","","","","",""
"Growing surface","#5","","","","","",""
"Growing surface","#6","","","","","",""
